"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D2";"LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"Red";;;
2;"C5,C6,C4";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";3;"10u";;;
3;"CR3,CR4,CR2,CR1";"USC_TOS";4;"CUS08F30_H3FT";;;
4;"R23,R7,R16,R24,R25,R20,R19,R21,R3,R22,R2,R6,R10,R5,R26,R13,R11,R12,R17,R14";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";20;"10k";;;
5;"U6,U5";"SOIC-8_3.9x4.9mm_P1.27mm";2;"LM334M";;;
6;"Q4,Q2,Q1,Q5,Q3";"SOT-23";5;"BSS138";;;
7;"C2,C7,C3,C8,C1";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";5;"1u";;;
8;"U1";"ESP32-C3-MINI-1_EXP";1;"ESP32-C3-MINI-1-N4";;;
9;"J2,J1";"Solder_Connector";2;"Conn_01x03_Pin";;;
10;"R4,R9,R1,R8";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";4;"1k";;;
11;"TP1";"Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";1;"~";;;
12;"R15,R18";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"150R";;;
13;"CP3,CP4";"TestPoint_Pad_D2.0mm";2;"Short Probe";;;
14;"U2";"SOT-223";1;"LD1117S33CTR";;;
15;"U3";"SOT-23-6";1;"TPS22917DBV";;;
16;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Reset Settings";;;
17;"L2,L1";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";2;"MMZ2012Y102B";;;
18;"JP2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Boot";;;
19;"CP1,CP2";"TestPoint_Pad_D2.0mm";2;"Long Probe";;;
20;"D1";"LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"Green";;;
21;"U4";"TSSOP-10_3x3mm_P0.5mm";1;"ADS1115IDGS";;;
